student_id,course_id,enrollment_date
Лавр,Психология 904,2025-02-15
Изот,Литература 181,2025-02-13
Изот,Химия 219,2024-07-20
Изот,Медицина 600,2025-02-02
Парфен,Программирование 692,2024-08-25
Парфен,История 646,2024-07-27
Парфен,Математический анализ 589,2024-11-29
Парфен,Психология 699,2024-10-31
Степан,Программирование 735,2024-12-02
Мирослав,Право 507,2024-11-24
Мирослав,Программирование 394,2024-12-02
Мирослав,История 901,2024-08-28
Мирослав,Химия 433,2024-09-04
Егор,Медицина 165,2024-08-18
Егор,Экономика 277,2024-12-04
Егор,Математический анализ 499,2024-10-14
Егор,Литература 209,2025-04-27
Егор,Программирование 752,2024-11-15
Ярослав,Биология 705,2024-08-20
Филарет,Литература 679,2024-12-19
Филарет,Программирование 125,2024-07-29
Филарет,Математический анализ 389,2024-06-30
Филарет,Медицина 841,2025-04-26
Варвара,Химия 178,2024-09-03
Варвара,Литература 432,2024-06-19
Варвара,Математический анализ 554,2025-02-10
Варвара,Химия 949,2024-07-18
Варвара,Право 477,2024-05-22
Ратмир,Экономика 219,2025-01-28
Ратмир,Психология 494,2025-02-05
Ратмир,Право 158,2024-05-20
Светозар,Психология 128,2024-11-14
Мартьян,Экономика 168,2025-01-06
Мартьян,История 571,2025-02-05
Мартьян,Право 314,2024-06-28
Сидор,Биология 652,2024-10-23
Сидор,Программирование 362,2024-07-26
Сидор,Медицина 508,2025-05-20
Сидор,Экономика 127,2024-06-04
Харитон,Литература 305,2025-01-13
Харитон,Математический анализ 978,2024-11-22
Харитон,Программирование 495,2024-10-11
Харитон,История 289,2024-09-19
Харитон,Право 221,2025-04-07
Бажен,Право 251,2025-02-16
Бажен,Биология 734,2024-06-13
Мирон,Математический анализ 308,2024-06-13
Мирон,Литература 555,2025-03-18
Ия,Математический анализ 308,2025-04-28
Ия,Психология 389,2025-03-08
Ия,Медицина 974,2024-11-16
Ия,Математический анализ 263,2024-09-06
Ия,Химия 460,2024-09-10
Владимир,Психология 807,2024-07-25
Венедикт,Психология 983,2024-12-20
Венедикт,Программирование 379,2024-10-22
Бронислав,Литература 689,2025-04-10
Бронислав,Программирование 991,2025-03-13
Бронислав,Программирование 127,2024-12-24
Бронислав,Психология 558,2024-09-15
Рюрик,Экономика 219,2024-10-03
Рюрик,Химия 109,2025-02-03
Рюрик,Медицина 409,2024-10-06
Наркис,Литература 432,2025-02-11
Наркис,Психология 277,2025-02-10
Милен,Биология 116,2025-04-12
Викторин,Биология 717,2024-07-22
Викторин,Медицина 508,2024-10-28
Викторин,Биология 695,2025-03-09
Викторин,Экономика 403,2024-07-12
Викторин,Психология 453,2024-11-25
Флорентин,Экономика 966,2025-02-14
Флорентин,Программирование 589,2025-04-08
Флорентин,Химия 433,2024-08-01
Флорентин,Литература 963,2025-02-19
Флорентин,Медицина 101,2024-12-24
Евграф,Литература 969,2024-08-31
Евграф,Химия 765,2024-12-05
Евграф,Биология 124,2024-06-16
