teacher_id,first_name,last_name,email,phone,qualification,hire_date,department_id,biography
1,Харитон,Русаков,х.русаков@faculty.uni.ru,+79015614226,Доцент,2003-02-03,2,Призыв сохранять соответствие бабочка устройство. Деловой рис народ спалить юный.
2,Леон,Колобов,л.колобов@faculty.uni.ru,+79022458591,Преподаватель,2012-08-22,1,Левый металл поколение сверкающий прежний материя увеличиваться. Функция горький серьезный торопливый развитый.
3,Исидор,Михеев,и.михеев@faculty.uni.ru,+79024668136,Доцент,2021-01-24,5,Поколение деньги князь выражение правление чем при. Тревога основание пастух очко теория.
4,Аникита,Субботин,а.субботин@faculty.uni.ru,+79214335942,Преподаватель,2011-10-11,2,Падаль космос решение дыхание народ граница товар подробность. Ночь госпожа редактор достоинство грустный пламя домашний. Теория правильный что.
5,Евпраксия,Игнатьева,е.игнатьева@faculty.uni.ru,+79225667265,Профессор,2021-06-12,2,Обида боец актриса миллиард кольцо затянуться. Актриса передо присесть уронить. Банк крутой встать. Волк пропасть четыре увеличиваться.
6,Алина,Петухова,а.петухова@faculty.uni.ru,+79165661907,Доцент,2000-05-06,2,Торговля результат госпожа неправда пространство. Советовать слишком беспомощный головной столетие.
7,Евпраксия,Костина,е.костина@faculty.uni.ru,+79022556017,Преподаватель,2021-12-18,1,Указанный выбирать заработать направо сомнительный. О медицина ленинград да банда.
8,Мария,Герасимова,м.герасимова@faculty.uni.ru,+79165437923,Профессор,2013-12-17,4,Солнце бегать команда дурацкий премьера. Головка кузнец какой решение идея а бетонный. Командующий дрогнуть мера пятеро поезд.
9,Семен,Фокин,с.фокин@faculty.uni.ru,+79192322047,Старший преподаватель,2006-12-26,5,Рассуждение эпоха коллектив механический инвалид четко багровый. Левый граница неправда наступать.
10,Дарья,Соколова,д.соколова@faculty.uni.ru,+79224226067,Профессор,2008-12-02,1,Господь остановить сохранять радость следовательно инфекция пол. Степь мрачно соответствие. Возможно упор секунда прошептать сходить исследование растеряться.
11,Эммануил,Горбачев,э.горбачев@faculty.uni.ru,+79152338687,Доцент,2019-01-25,1,Невыносимый приятель выбирать сустав потом оставить прежний. Увеличиваться место металл поставить слишком.
12,Анжелика,Афанасьева,а.афанасьева@faculty.uni.ru,+79158606962,Старший преподаватель,2000-09-05,2,Задрать посидеть палка. Жестокий присесть бровь около.
