student_id,course_id,enrollment_date
Виссарион,Медицина 125,2024-11-21
Виссарион,Биология 636,2025-03-18
Виссарион,Экономика 482,2024-07-02
Виссарион,Математический анализ 326,2025-03-10
Епифан,Экономика 120,2025-02-06
Епифан,Медицина 463,2024-05-22
Антип,Биология 636,2024-06-29
Антип,Литература 299,2024-09-27
Антип,Медицина 840,2025-01-30
Григорий,Медицина 325,2024-05-25
Григорий,Программирование 939,2024-11-07
Савватий,История 610,2025-03-15
Владлен,Психология 975,2024-10-02
Сила,Химия 709,2024-11-19
Сила,История 182,2024-11-09
Сила,Биология 196,2024-09-20
Сила,Медицина 810,2024-06-21
Сила,Химия 981,2025-05-14
Лучезар,Литература 636,2024-12-19
Лучезар,Психология 633,2024-12-02
Лучезар,Литература 155,2025-01-13
Аскольд,Математический анализ 178,2025-04-05
Аскольд,Психология 235,2024-09-16
Аскольд,Биология 101,2025-02-27
Аскольд,История 682,2025-04-09
Аскольд,Литература 254,2025-02-12
Каллистрат,История 411,2025-03-03
Каллистрат,Литература 295,2025-05-03
Каллистрат,Психология 816,2024-10-07
Каллистрат,Биология 615,2024-10-24
Каллистрат,Программирование 353,2024-12-15
Гедеон,Литература 594,2025-03-12
Гедеон,Математический анализ 709,2024-09-06
Гедеон,Химия 709,2025-02-01
Гедеон,Право 491,2025-03-11
Гедеон,Биология 176,2025-01-18
Михей,Право 592,2025-03-26
Ульян,История 222,2025-04-09
Ульян,История 791,2024-10-15
Ульян,Право 372,2025-02-10
Ульян,История 649,2025-05-10
Ульян,Программирование 539,2024-09-02
Вацлав,Математический анализ 867,2025-04-07
Вацлав,Биология 176,2024-12-26
Вацлав,История 411,2025-03-05
Олег,История 381,2024-07-11
Олег,Экономика 136,2024-07-13
Олег,История 178,2024-12-10
Олег,Химия 647,2024-06-12
Юлия,Экономика 353,2025-02-01
Юлия,Право 491,2024-07-07
Юлия,Биология 373,2025-02-21
Юлия,Экономика 988,2025-03-09
Ульяна,Химия 573,2024-08-30
Ульяна,Экономика 281,2025-04-08
Потап,Математический анализ 326,2025-03-23
Потап,Биология 591,2024-10-05
Нифонт,Математический анализ 168,2024-06-28
Нифонт,Литература 487,2024-08-01
Алексей,Математический анализ 897,2024-07-21
Анжелика,Программирование 470,2024-08-12
Анжелика,Химия 919,2024-09-12
Анжелика,Математический анализ 154,2024-08-20
Анжелика,Биология 981,2024-08-20
Анжелика,Математический анализ 876,2024-05-22
Захар,Экономика 482,2024-12-05
Захар,Биология 372,2025-04-12
Захар,Литература 801,2024-10-18
Захар,Химия 964,2024-11-12
Захар,Медицина 463,2025-01-11
Мариан,Математический анализ 880,2024-06-15
Гремислав,Химия 250,2025-01-08
Гремислав,Медицина 325,2024-10-26
Гремислав,История 182,2025-05-11
Гремислав,Программирование 984,2025-03-28
Милица,Право 815,2025-01-06
Фаина,Экономика 576,2024-11-24
Фаина,Биология 779,2024-05-30
Фаина,Биология 941,2025-01-02
Фаина,Экономика 281,2025-02-07
Фаина,Химия 774,2024-11-06
Ферапонт,Программирование 428,2024-12-13
Милан,История 216,2025-03-06
Милан,История 849,2024-09-09
Милан,Медицина 851,2024-12-16
Афиноген,История 823,2024-11-13
Афиноген,Медицина 821,2024-11-05
Афиноген,Право 505,2025-04-25
Афиноген,Литература 669,2024-05-23
Афиноген,Право 419,2024-06-06
Никандр,Литература 426,2025-05-05
Никандр,Математический анализ 855,2024-11-08
Никандр,Программирование 182,2025-01-28
Никандр,История 849,2025-01-05
Никандр,Программирование 989,2024-07-03
Зоя,Литература 702,2025-04-26
Зоя,Программирование 151,2024-06-06
Зоя,Медицина 708,2024-05-28
Зоя,Психология 816,2024-06-20
Марина,Экономика 988,2024-06-14
Марина,Литература 801,2024-10-24
Марина,Медицина 742,2024-09-01
Марина,Медицина 708,2025-04-19
Марина,Психология 816,2024-07-14
Трофим,Право 150,2025-04-30
Трофим,Литература 206,2024-08-30
Трофим,Химия 824,2024-12-14
Мокей,Медицина 894,2024-10-04
Мокей,История 178,2024-07-11
Валерьян,Литература 226,2025-01-15
Валерьян,Медицина 434,2025-02-19
Валерьян,Биология 731,2025-02-26
Венедикт,Медицина 862,2024-08-30
Венедикт,Химия 227,2024-07-02
Венедикт,Медицина 736,2025-03-16
Венедикт,История 238,2024-07-03
Венедикт,Программирование 182,2025-04-29
Ульян,Медицина 463,2024-08-20
Ульян,История 942,2025-04-13
Ульян,Химия 919,2025-04-08
Кира,Психология 669,2024-10-09
Кира,История 942,2025-01-08
Кира,Программирование 655,2024-12-27
Евдокия,Химия 751,2024-10-24
Евдокия,Химия 774,2024-10-09
Евдокия,Биология 615,2024-10-10
Евдокия,Биология 156,2024-09-04
Мефодий,Психология 180,2024-10-19
Мефодий,Программирование 606,2024-08-13
Мефодий,Биология 194,2025-03-11
Мефодий,Психология 446,2025-04-06
Афанасий,Биология 731,2025-03-25
Афанасий,Математический анализ 826,2024-09-08
Афанасий,Психология 110,2025-02-18
Афанасий,Психология 937,2024-07-11
Афанасий,История 942,2024-12-01
Никон,Экономика 799,2024-05-24
Варфоломей,Биология 199,2025-03-19
Варфоломей,Математический анализ 763,2024-09-11
Варфоломей,Право 343,2025-04-28
Владислав,История 682,2025-02-26
Владислав,Психология 734,2024-11-18
Владислав,Психология 816,2025-04-28
Владислав,Право 592,2024-07-05
Василий,История 393,2024-06-30
Василий,Математический анализ 682,2025-04-03
Василий,Химия 690,2024-11-04
Василий,Биология 176,2024-10-02
Прокл,Химия 974,2025-02-20
Демьян,Биология 508,2024-09-08
Демьян,Химия 981,2025-01-21
Демьян,Химия 573,2024-09-18
Демьян,Биология 731,2024-11-27
Светлана,Программирование 142,2024-07-04
Светлана,Химия 824,2024-10-06
Светлана,Биология 636,2024-07-06
Светлана,Медицина 851,2024-11-29
Лукия,Математический анализ 479,2025-04-11
Лукия,История 791,2025-04-29
Лукия,Право 542,2024-10-01
Януарий,Медицина 840,2025-04-08
Варвара,Математический анализ 709,2024-05-21
Варвара,Математический анализ 933,2024-06-04
Варвара,Химия 465,2024-09-25
Тит,Программирование 935,2024-08-29
Тит,Экономика 900,2025-03-13
Тит,Право 429,2024-05-31
Тит,Биология 764,2024-06-08
Тит,Экономика 372,2024-10-21
Савва,Психология 373,2024-12-18
Савва,Психология 844,2024-11-03
Савва,История 567,2024-08-02
Савва,Литература 665,2024-08-04
Савва,Психология 617,2024-06-10
Станимир,Биология 196,2025-02-01
Станимир,Математический анализ 398,2024-09-29
Станимир,Математический анализ 570,2024-06-17
Роман,Математический анализ 107,2024-11-14
Роман,Экономика 782,2025-02-12
Аким,Математический анализ 940,2024-08-27
Сила,Биология 591,2024-07-16
Сила,Биология 404,2024-09-22
Сила,Биология 196,2024-10-14
Сила,Медицина 295,2024-08-23
Ростислав,Математический анализ 888,2024-07-18
Ростислав,Экономика 636,2024-06-07
Ростислав,Математический анализ 636,2024-10-23
Ростислав,Химия 690,2024-05-27
Вячеслав,Математический анализ 876,2025-03-29
Вячеслав,Экономика 643,2024-12-31
Вячеслав,История 384,2024-10-25
Вячеслав,Математический анализ 933,2024-08-05
Регина,Экономика 482,2024-10-04
Любосмысл,Экономика 136,2025-03-04
Любосмысл,Литература 215,2024-09-25
Назар,Программирование 939,2024-10-07
Назар,Программирование 881,2025-03-27
Назар,Право 746,2024-11-10
Назар,Математический анализ 751,2024-10-30
Назар,Экономика 482,2024-08-03
Архип,Медицина 295,2024-05-26
Архип,Психология 667,2025-04-24
Архип,Психология 734,2025-01-21
Август,История 182,2025-01-22
Август,Программирование 351,2024-06-15
Мефодий,Биология 156,2024-10-14
Мефодий,Право 372,2024-12-21
Мефодий,Программирование 873,2024-07-25
Мефодий,История 610,2024-10-15
Мефодий,Медицина 840,2025-02-05
Панкрат,Экономика 609,2025-04-08
Панкрат,Программирование 801,2024-07-20
Савватий,История 649,2024-12-08
Савватий,Литература 450,2024-11-26
Савватий,Право 546,2024-08-13
Савватий,Экономика 353,2024-09-08
Олимпий,Медицина 821,2024-12-04
Олимпий,Психология 373,2024-06-17
Олимпий,Математический анализ 888,2024-11-14
Олимпий,Математический анализ 192,2025-03-14
Олимпий,Биология 764,2025-03-24
Виссарион,Литература 254,2024-12-10
Виссарион,Литература 191,2025-02-22
Виссарион,История 500,2025-04-05
Виссарион,Математический анализ 709,2025-01-22
Касьян,Химия 573,2025-03-30
Касьян,Биология 194,2025-01-06
Касьян,Психология 348,2025-04-19
Касьян,Литература 669,2025-02-25
Касьян,Биология 390,2025-02-13
Филарет,Экономика 799,2024-11-23
Филарет,Право 546,2025-03-28
Филарет,Право 542,2025-01-01
Филарет,Литература 215,2025-03-14
Филарет,Программирование 606,2025-03-02
Иннокентий,Медицина 810,2025-01-11
Иннокентий,Экономика 281,2024-07-15
Иннокентий,Литература 728,2025-05-07
Иннокентий,Психология 656,2024-10-08
Иннокентий,Математический анализ 933,2024-10-18
Кузьма,История 708,2025-03-10
Кузьма,Медицина 736,2024-06-26
Всеслав,Экономика 244,2025-04-24
Всеслав,Экономика 900,2025-04-02
Всеслав,Химия 919,2025-01-12
Всеслав,Медицина 708,2024-05-26
Всеслав,Литература 732,2024-07-20
Ратмир,Биология 509,2024-07-10
Ратмир,Психология 734,2025-01-02
Ратмир,Литература 222,2024-11-22
Ратмир,Биология 101,2024-10-20
Ратмир,История 171,2025-01-27
Владимир,Биология 320,2024-08-28
Владимир,Биология 717,2024-12-17
Владимир,Медицина 552,2025-03-27
Владимир,Математический анализ 154,2024-12-30
Адриан,Биология 691,2024-06-23
Адриан,Психология 461,2024-09-17
Адриан,Химия 824,2024-10-02
Амвросий,Математический анализ 178,2024-05-28
Амвросий,Право 253,2024-12-29
Амвросий,Программирование 655,2025-04-07
Амвросий,Биология 245,2024-11-04
Афанасий,Экономика 372,2024-06-02
Афанасий,Право 279,2024-09-13
Афанасий,Программирование 939,2025-03-19
Афанасий,Биология 373,2025-01-24
Афанасий,Программирование 182,2024-07-26
Всеслав,Экономика 900,2025-04-18
Всеслав,Программирование 734,2024-12-09
Ратмир,Химия 573,2024-08-14
Ратмир,Психология 669,2024-10-30
Пахом,Химия 824,2024-08-16
Пахом,Программирование 832,2025-04-17
Пахом,Биология 399,2025-03-08
Пахом,Медицина 851,2024-09-18
Август,Медицина 742,2024-10-17
Август,Психология 412,2024-08-19
Август,Программирование 193,2025-01-16
Август,Литература 222,2025-02-02
Ладимир,Психология 618,2024-08-03
Ладимир,Медицина 851,2025-05-06
Ладимир,Биология 156,2024-10-22
Ладимир,Биология 941,2025-04-05
Ладимир,Психология 633,2025-04-15
Михей,История 238,2025-02-14
Михей,Право 247,2025-05-13
Михей,Биология 508,2025-04-08
Михей,Литература 594,2025-02-23
Михей,Экономика 462,2025-03-28
Ирина,Психология 412,2024-06-11
Ирина,Литература 694,2025-04-04
Ирина,Психология 734,2024-12-18
Ирина,История 297,2025-02-07
Аркадий,Медицина 979,2024-08-03
Аркадий,Экономика 587,2024-10-21
Аркадий,Литература 728,2024-12-10
Аркадий,Химия 690,2024-08-10
Олег,Биология 194,2025-05-12
Корнил,Биология 194,2025-04-22
Корнил,Литература 378,2024-06-03
Корнил,Биология 373,2024-06-04
Корнил,Биология 372,2024-10-25
Аркадий,История 489,2025-02-11
Аркадий,Математический анализ 751,2024-07-18
Аркадий,Право 279,2025-05-03
Мечислав,Литература 191,2025-02-16
Мечислав,Экономика 353,2024-08-28
Ульян,Химия 576,2025-04-02
Ульян,Биология 404,2024-08-18
Ульян,Биология 271,2025-05-03
Селиван,Право 592,2024-10-17
Любосмысл,Экономика 636,2025-02-25
Любосмысл,Биология 390,2025-04-27
Любосмысл,Право 204,2025-01-08
Фрол,Математический анализ 168,2024-09-28
Корнил,Экономика 462,2025-01-28
Корнил,Медицина 175,2025-04-02
Корнил,Химия 174,2024-09-25
Корнил,Медицина 416,2024-09-10
Адриан,Биология 717,2025-01-17
Святослав,История 222,2025-01-09
Святослав,История 708,2025-04-06
Святослав,Медицина 708,2024-08-25
Святослав,Экономика 526,2025-05-12
Моисей,Право 140,2024-07-05
Моисей,Экономика 934,2025-03-10
Моисей,Химия 618,2025-04-22
Моисей,Биология 390,2025-01-05
Моисей,Литература 215,2024-09-16
Мартьян,Химия 618,2025-04-08
Трофим,Медицина 708,2025-02-19
