course_id,teacher_id,classroom,class_time
Психология 303,Прохор,Ауд. 248,2025-05-22 13:00:00.956232
Психология 303,Прохор,Ауд. 418,2025-05-29 14:00:00.956260
Психология 303,Прохор,Ауд. 318,2025-06-05 14:00:00.956272
Психология 303,Прохор,Ауд. 154,2025-06-12 08:00:00.956279
Психология 303,Прохор,Ауд. 409,2025-06-19 12:00:00.956287
Психология 303,Прохор,Ауд. 499,2025-06-26 10:00:00.956294
Психология 303,Прохор,Ауд. 358,2025-07-03 14:00:00.956301
Психология 303,Прохор,Ауд. 119,2025-07-10 17:00:00.956307
Психология 303,Прохор,Ауд. 225,2025-07-17 18:00:00.956313
Психология 303,Прохор,Ауд. 326,2025-07-24 08:00:00.956320
Психология 303,Прохор,Ауд. 333,2025-07-31 18:00:00.956326
Психология 303,Прохор,Ауд. 455,2025-08-07 11:00:00.956332
Психология 303,Прохор,Ауд. 420,2025-08-14 09:00:00.956338
Психология 303,Прохор,Ауд. 110,2025-08-21 13:00:00.956344
Психология 303,Прохор,Ауд. 391,2025-08-28 12:00:00.956350
Психология 303,Прохор,Ауд. 158,2025-09-04 12:00:00.956358
История 652,Прохор,Ауд. 333,2025-05-22 13:00:00.956366
История 652,Прохор,Ауд. 372,2025-05-29 13:00:00.956373
История 652,Прохор,Ауд. 166,2025-06-05 08:00:00.956380
История 652,Прохор,Ауд. 247,2025-06-12 10:00:00.956385
История 652,Прохор,Ауд. 440,2025-06-19 08:00:00.956391
История 652,Прохор,Ауд. 263,2025-06-26 18:00:00.956397
История 652,Прохор,Ауд. 281,2025-07-03 13:00:00.956403
История 652,Прохор,Ауд. 271,2025-07-10 15:00:00.956409
История 652,Прохор,Ауд. 483,2025-07-17 14:00:00.956415
История 652,Прохор,Ауд. 202,2025-07-24 16:00:00.956422
История 652,Прохор,Ауд. 345,2025-07-31 11:00:00.956428
История 652,Прохор,Ауд. 310,2025-08-07 18:00:00.956440
История 652,Прохор,Ауд. 207,2025-08-14 12:00:00.956446
История 652,Прохор,Ауд. 167,2025-08-21 18:00:00.956452
История 652,Прохор,Ауд. 308,2025-08-28 14:00:00.956458
История 652,Прохор,Ауд. 259,2025-09-04 12:00:00.956464
Медицина 325,Гаврила,Ауд. 495,2025-05-22 18:00:00.956471
Медицина 325,Гаврила,Ауд. 291,2025-05-29 14:00:00.956477
